petal.length_<=4.800,petal.width_<=1.650,petal.length_<=4.900,petal.length_<=2.450,petal.length_>4.800,petal.length_>4.900,sepal.width_>3.100,sepal.width_<=3.100,petal.width_>1.650,petal.length_>2.450,label
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,0,1,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,1,0,0,1,0,0,0,Setosa
1,1,1,0,0,0,1,0,0,1,Versicolor
1,1,1,0,0,0,1,0,0,1,Versicolor
0,1,1,0,1,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,1,0,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,0,1,0,0,0,1,0,1,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
0,1,1,0,1,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
0,0,0,0,1,1,0,1,1,1,Versicolor
1,1,1,0,0,0,0,1,0,1,Versicolor
